GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
foodtech,br.com.fiap.foodtech.foodtech.dto,ItemCardapioDTO,0,32,0,0,0,2,0,2,0,2
foodtech,br.com.fiap.foodtech.foodtech.dto,EnderecoDTO,37,0,0,0,2,0,2,0,2,0
foodtech,br.com.fiap.foodtech.foodtech.dto,RestauranteDTO,24,0,0,0,1,0,1,0,1,0
foodtech,br.com.fiap.foodtech.foodtech.dto,ValidationErrorDTO,0,9,0,0,0,1,0,1,0,1
foodtech,br.com.fiap.foodtech.foodtech.dto,UpdateSenhaDTO,12,0,0,0,1,0,1,0,1,0
foodtech,br.com.fiap.foodtech.foodtech.dto,ResourceExceptionDTO,0,9,0,0,0,1,0,1,0,1
foodtech,br.com.fiap.foodtech.foodtech.dto,LoginDTO,17,0,0,0,2,0,2,0,2,0
foodtech,br.com.fiap.foodtech.foodtech.dto,UsuarioDTO,50,0,0,0,3,0,3,0,3,0
foodtech,br.com.fiap.foodtech.foodtech.service.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
foodtech,br.com.fiap.foodtech.foodtech.service.exceptions,ResourceAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
foodtech,br.com.fiap.foodtech.foodtech.service.exceptions,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
foodtech,br.com.fiap.foodtech.foodtech.service.exceptions,ResourceNotExistsException,4,0,0,0,2,0,1,0,1,0
foodtech,br.com.fiap.foodtech.foodtech.entities,Usuario,0,18,0,0,0,7,0,1,0,1
foodtech,br.com.fiap.foodtech.foodtech.entities,Cliente,0,11,0,0,0,3,0,1,0,1
foodtech,br.com.fiap.foodtech.foodtech.entities,Login,0,12,0,0,0,5,0,2,0,2
foodtech,br.com.fiap.foodtech.foodtech.entities,Restaurante,24,0,0,0,9,0,1,0,1,0
foodtech,br.com.fiap.foodtech.foodtech.entities,Endereco,0,21,0,0,0,8,0,1,0,1
foodtech,br.com.fiap.foodtech.foodtech.entities,ItemCardapio,6,18,0,0,3,7,1,1,1,1
foodtech,br.com.fiap.foodtech.foodtech.entities,Gestor,0,11,0,0,0,3,0,1,0,1
foodtech,br.com.fiap.foodtech.foodtech.service,RestauranteService,211,9,0,0,55,4,10,1,10,1
foodtech,br.com.fiap.foodtech.foodtech.service,GestorService,138,0,4,0,32,0,10,0,8,0
foodtech,br.com.fiap.foodtech.foodtech.service,LoginService,42,9,0,0,10,4,2,1,2,1
foodtech,br.com.fiap.foodtech.foodtech.service,ClienteService,138,0,4,0,32,0,10,0,8,0
foodtech,br.com.fiap.foodtech.foodtech.service,ItemCardapioService,34,51,0,0,5,14,4,5,4,5
foodtech,br.com.fiap.foodtech.foodtech.controllers,ClienteController,59,10,0,0,14,4,5,2,5,2
foodtech,br.com.fiap.foodtech.foodtech.controllers,LoginController,20,13,0,0,6,5,2,2,2,2
foodtech,br.com.fiap.foodtech.foodtech.controllers,GestorController,59,10,0,0,14,4,5,2,5,2
foodtech,br.com.fiap.foodtech.foodtech.controllers,RestauranteController,68,10,2,0,17,4,6,2,5,2
foodtech,br.com.fiap.foodtech.foodtech.controllers,ItemCardapioController,16,53,0,0,3,15,1,6,1,6
foodtech,br.com.fiap.foodtech.foodtech,FoodtechApplication,5,3,0,0,2,1,1,1,1,1
foodtech,br.com.fiap.foodtech.foodtech.controllers.handlers,ControllerExceptionHandler,42,55,0,2,6,9,3,4,3,3
foodtech,br.com.fiap.foodtech.foodtech.validation,TipoUsuarioValidator,2,55,1,7,1,13,1,7,0,4
foodtech,br.com.fiap.foodtech.foodtech.validation,UsuarioValidator,30,9,6,0,8,4,5,1,2,1
foodtech,br.com.fiap.foodtech.foodtech.validation,LoginValidator,49,6,6,0,10,3,7,1,4,1
foodtech,br.com.fiap.foodtech.foodtech.config,OpenApiConfig,0,23,0,0,0,7,0,2,0,2
